Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last
2025-09-19,23.75%,-0.28%,25.62%,30%,0,1,6.2980769230769,759,62.54
2025-09-17,24.03%,+0.76%,26.50%,35%,0,1,6.2980769230769,759,60.86
2025-09-16,23.26%,+0.98%,24.10%,24%,0,3,6.3592233009709,758,61
2025-09-12,22.28%,-2.09%,21.03%,16%,0,4,6.421568627451,757,60.57
2025-09-11,24.38%,+1.89%,27.60%,39%,999.99,1,6.4117647058824,756,60.56
2025-09-10,22.49%,-0.27%,21.69%,17%,0.125,9,6.9574468085106,748,59.73
2025-09-08,22.76%,-0.83%,22.53%,20%,0,3,6.9574468085106,748,59.34
2025-09-05,23.59%,-0.28%,25.12%,27%,0,2,7.1086956521739,746,57.92
2025-09-04,23.87%,+0.95%,26.00%,30%,0.5,3,7.1758241758242,744,56.57
2025-09-03,22.91%,+0.16%,23.01%,22%,0,5,7.593023255814,739,57.7
2025-09-02,22.76%,+0.85%,22.51%,19%,0,1,7.593023255814,739,57.25
2025-08-29,21.91%,+1.19%,19.85%,12%,0,6,7.593023255814,739,57.67
2025-08-27,20.72%,-0.15%,16.13%,5%,1.5,15,8.175,734,57.38
2025-08-26,20.86%,-0.41%,16.58%,6%,0,1,8.2784810126582,733,58.1
2025-08-22,21.27%,-1.80%,17.87%,8%,0,4,8.72,729,58.8
2025-08-21,23.08%,+1.64%,23.52%,21%,999.99,1,8.7066666666667,728,56.91
2025-08-20,21.44%,-2.90%,18.38%,8%,999.99,1,8.6933333333333,727,57.11
2025-08-19,24.34%,+2.15%,27.47%,33%,999.99,1,8.68,726,56.67
2025-08-18,22.19%,-0.72%,20.74%,13%,14.5,31,8.5205479452055,695,57.11
2025-08-15,22.91%,+0.72%,23.00%,19%,0,3,6.2566371681416,820,57.62
2025-08-14,22.19%,+1.17%,20.74%,13%,999.99,50,5.8141592920354,770,57.64
2025-08-13,21.03%,-0.16%,17.09%,6%,999.99,3,5.8053097345133,769,58.36
2025-08-12,21.19%,-0.58%,17.60%,6%,0,13,6.368932038835,759,57.5
2025-08-11,21.77%,-0.88%,19.41%,8%,31.4,162,4.8446601941748,602,56.36
2025-08-08,22.65%,+0.02%,22.17%,16%,0,1,4.8921568627451,601,56.45
2025-08-07,22.63%,+0.31%,22.11%,15%,0,2,4.99,599,56.66
2025-08-06,22.32%,-1.07%,21.15%,12%,0,5,5.0918367346939,597,56.17
2025-08-05,23.39%,-0.45%,24.49%,19%,999.99,4,5.0612244897959,594,55.4
2025-08-04,23.84%,-0.05%,25.90%,23%,0.66666666666667,5,5.0612244897959,594,55.05
2025-08-01,23.89%,-0.50%,26.06%,24%,999.99,5,5.0408163265306,592,53.43
2025-07-31,24.39%,+0.81%,27.63%,30%,999.99,1,5.030612244898,591,53.05
2025-07-30,23.58%,+0.80%,25.10%,21%,999.99,1,5.0204081632653,590,53.99
2025-07-29,22.78%,-2.40%,22.58%,15%,999.99,9,5.0204081632653,590,54.54
2025-07-28,25.18%,+0.81%,30.11%,36%,2,3,5.0515463917526,587,54.22
2025-07-24,24.36%,+1.75%,27.55%,28%,9,10,4.9587628865979,578,55.44
2025-07-23,22.61%,+3.15%,22.07%,14%,0,18,6.0886075949367,560,56.27
2025-07-22,19.47%,-3.05%,12.20%,1%,999.99,50,5.4556962025316,510,55.74
2025-07-21,22.51%,+0.69%,21.75%,13%,0.28571428571429,18,6.5692307692308,492,55.7
2025-07-18,21.82%,+1.18%,19.58%,8%,0.4,14,9.875,1131,54.81
2025-07-17,20.64%,-1.43%,26.10%,5%,0,13,9.1696428571429,1139,53.57
2025-07-16,22.07%,+1.59%,30.05%,10%,999.99,3,9.1785714285714,1140,53.43
2025-07-15,20.48%,-3.74%,27.18%,5%,999.99,3,9.1696428571429,1139,52.86
2025-07-14,24.22%,+0.87%,37.26%,26%,6.5,15,9.2072072072072,1133,52.99
2025-07-11,23.35%,+0.16%,44.35%,18%,0.5,6,9.5420560747664,1128,52.98
2025-07-10,23.18%,+0.88%,43.98%,15%,11.5,25,9.5233644859813,1126,53.95
2025-07-09,22.30%,+0.14%,41.94%,13%,999.99,2,9.5233644859813,1126,54
2025-07-08,22.17%,-1.11%,41.63%,12%,0,10,10.089108910891,1120,53.81
2025-07-07,23.27%,+2.74%,44.18%,16%,10.5,23,10.07,1107,53.84
2025-07-03,20.54%,-1.42%,37.87%,7%,0.16666666666667,7,10.712765957447,1101,54.79
2025-07-02,21.95%,+0.72%,41.14%,11%,0.16666666666667,7,10.934782608696,1098,54.31
2025-07-01,21.23%,-1.11%,39.47%,10%,2,12,11.454545454545,1096,54.21
2025-06-30,22.34%,+0.30%,42.03%,14%,19,60,10.450549450549,1042,53.75
2025-06-27,22.04%,+2.83%,41.33%,13%,999.99,4,10.417582417582,1039,52.64
2025-06-25,19.21%,-2.82%,34.80%,8%,999.99,4,10.373626373626,1035,52.89
2025-06-24,22.03%,-2.37%,41.31%,13%,0,2,10.488888888889,1034,53.46
2025-06-23,24.40%,+4.07%,46.78%,28%,1.6666666666667,8,10.827586206897,1029,52.35
2025-06-20,20.33%,+4.76%,37.40%,10%,27.25,113,7.432,1054,51.73
2025-06-18,15.57%,-8.28%,26.43%,7%,999.99,1,7.432,1054,51.8
2025-06-17,23.86%,+2.35%,45.53%,22%,54,165,6.2950819672131,890,51.56
2025-06-16,21.50%,+1.29%,40.10%,13%,49,50,5.8934426229508,841,53.04
2025-06-13,20.22%,-1.54%,37.13%,10%,0.014457831325301,421,2.6094890510949,989,53.3
2025-06-12,21.76%,-1.84%,40.69%,13%,0,3,2.6094890510949,989,54.77
2025-06-11,23.59%,-0.30%,44.93%,20%,999.99,37,2.478102189781,953,54.08
2025-06-10,23.90%,-0.02%,45.62%,21%,0.5,3,2.4744525547445,952,54.66
2025-06-09,23.92%,-0.11%,45.68%,21%,3.3333333333333,13,2.4816176470588,947,54.44
2025-06-06,24.03%,+0.69%,45.93%,23%,0.2,12,2.5687022900763,935,53.94
2025-06-05,23.35%,-0.61%,44.35%,18%,999.99,5,2.5572519083969,932,54.03
2025-06-04,23.96%,-0.61%,45.77%,22%,0,3,2.5868725868726,929,53.46
2025-06-02,24.57%,+0.78%,47.18%,28%,0.03448275862069,30,2.8033472803347,909,53.27
2025-05-30,23.79%,-0.22%,45.38%,22%,2,9,2.7899159663866,902,52.21
2025-05-29,24.01%,+0.29%,45.89%,23%,1.75,22,2.8034188034188,890,53.05
2025-05-27,23.73%,-0.73%,45.23%,23%,24,25,2.7296137339056,869,51.91
2025-05-23,24.45%,-2.80%,46.91%,28%,999.99,24,2.6394849785408,848,52.52
2025-05-22,27.25%,+3.26%,53.35%,54%,9.6666666666667,32,2.6147186147186,835,51.43
2025-05-21,23.99%,+0.71%,45.84%,24%,1.5263157894737,96,2.4931506849315,765,51.45
2025-05-20,23.28%,-2.24%,44.19%,22%,47,48,2.302752293578,720,51.61
2025-05-19,25.52%,+4.85%,49.36%,39%,0.72727272727273,19,2.375,702,51.08
2025-05-16,20.67%,-7.04%,38.18%,17%,0.5,3,2.5555555555556,800,51.24
2025-05-15,27.71%,+2.37%,54.42%,55%,6,7,2.5446428571429,794,51.09
2025-05-13,25.34%,-3.99%,48.96%,36%,999.99,50,2.3214285714286,744,50.41
2025-05-12,29.34%,+3.11%,58.17%,64%,0.2,6,2.3169642857143,743,50.19
2025-05-09,26.22%,-0.21%,50.99%,48%,23,72,2.3273542600897,742,50.64
2025-05-06,26.44%,+0.78%,51.48%,49%,0,2,2.3484162895928,740,50.71
2025-05-05,25.66%,-0.44%,49.68%,41%,0.09009009009009,121,4.6727272727273,624,50.44
2025-05-02,26.10%,-1.08%,50.70%,46%,3.3333333333333,13,4.7102803738318,611,50.19
2025-04-29,27.17%,+0.24%,53.18%,53%,5.25,25,4.6893203883495,586,49.14
2025-04-28,26.93%,-0.76%,52.63%,52%,0,4,4.8787878787879,582,49.09
2025-04-25,27.70%,-2.09%,54.39%,55%,0,7,5.25,575,48.38
2025-04-24,29.79%,+0.04%,59.22%,65%,0.5,3,5.2967032967033,573,47.96
2025-04-22,29.75%,-1.02%,59.12%,65%,0,8,5.6705882352941,567,48.16
2025-04-21,30.77%,+2.14%,61.48%,72%,0,4,5.9506172839506,563,47.6
2025-04-17,28.64%,+3.58%,56.55%,62%,0,3,6.6954022988506,1339,47.9
2025-04-16,25.06%,-5.88%,48.31%,33%,999.99,1,6.6896551724138,1338,47.43
2025-04-15,30.94%,-3.39%,61.86%,72%,999.99,1,6.6896551724138,1338,47.1
2025-04-14,34.32%,-7.45%,69.67%,90%,999.99,11,6.6896551724138,1338,47.22
2025-04-11,41.77%,+3.58%,86.85%,99%,0,4,6.6136363636364,1340,45.62
2025-04-10,38.20%,-1.65%,78.61%,97%,999.99,1,6.6079545454545,1339,43.94
2025-04-09,39.85%,-0.61%,82.41%,99%,7,16,6.5875706214689,1343,44.27
2025-04-08,40.46%,-7.02%,83.82%,99%,3.5,9,6.5649717514124,1339,40.54
2025-04-07,47.48%,+13.76%,100.00%,100%,2.9545454545455,87,7.2838709677419,1284,40.77
2025-04-04,33.71%,+7.16%,83.33%,89%,5008,5009,36.051282051282,5780,41.29
2025-04-03,26.55%,+0.68%,63.17%,49%,999.99,81,36.410256410256,5836,44.88
2025-04-02,25.87%,+1.11%,61.24%,44%,999.99,6,36.371794871795,5830,46.65
2025-04-01,24.76%,-1.83%,58.13%,32%,999.99,5008,4.3717948717949,838,48.1
2025-03-31,26.59%,+2.23%,63.29%,49%,999.99,10,4.3717948717949,838,48.13
2025-03-27,24.36%,+0.26%,57.01%,29%,0.4,7,4.3717948717949,838,48.21
2025-03-26,24.10%,+0.58%,56.28%,27%,999.99,63,4.1089743589744,797,48.16
2025-03-24,23.53%,-3.28%,54.66%,27%,0,9,4.1895424836601,794,47.71
2025-03-21,26.81%,+0.69%,63.91%,52%,0,9,2.5873605947955,965,47.6
2025-03-20,26.12%,-0.59%,61.97%,46%,9.5,84,2.3574144486692,883,48.03
2025-03-19,26.71%,+0.59%,63.62%,51%,0,2,2.3754789272031,881,48.77
2025-03-18,26.12%,-5.60%,61.94%,47%,0,1,2.3754789272031,881,47.69
2025-03-17,31.72%,+3.38%,77.72%,77%,0,6,2.421875,876,47.74
2025-03-14,28.34%,-0.99%,68.20%,62%,0,2,2.4313725490196,875,47
2025-03-11,29.33%,-3.89%,70.99%,66%,0,3,2.4603174603175,872,46.31
2025-03-06,33.22%,+6.05%,81.94%,89%,999.99,3,2.4484126984127,869,46.57
2025-03-05,27.17%,-0.94%,64.91%,55%,999.99,5,2.4285714285714,864,46.39
2025-03-04,28.11%,-4.28%,67.56%,61%,999.99,4,2.4126984126984,860,45.07
2025-02-28,32.39%,+5.20%,79.62%,82%,999.99,3,2.4007936507937,857,44.4
2025-02-27,27.19%,+1.68%,64.97%,56%,999.99,71,2.1309523809524,789,45.21
2025-02-26,25.51%,-0.40%,60.24%,42%,0,4,2.1653225806452,785,46.1
2025-02-25,25.91%,+0.73%,61.37%,47%,999.99,62,1.9435483870968,730,46.13
2025-02-24,25.18%,+2.59%,59.31%,37%,0.5,9,1.9793388429752,721,46.06
2025-02-21,22.59%,+2.66%,52.01%,24%,999.99,15,2.469387755102,850,46.58
2025-02-20,19.93%,-0.31%,44.53%,19%,0,2,2.469387755102,850,46.83
2025-02-19,20.24%,-0.49%,45.42%,19%,999.99,2,2.4775510204082,852,46.22
2025-02-13,20.73%,-3.48%,46.79%,18%,0.66666666666667,25,2.595652173913,827,46.08
2025-02-12,24.21%,-0.52%,56.59%,29%,0,2,2.6184210526316,825,45.88
2025-02-11,24.74%,-0.56%,58.06%,31%,0,100,4.6640625,725,45.66
2025-02-10,25.29%,+0.33%,59.63%,35%,2.3333333333333,10,4.7301587301587,722,46.05
2025-02-07,24.96%,+0.51%,58.70%,32%,0,1,4.768,721,45.43
2025-02-06,24.46%,-1.28%,57.27%,30%,999.99,26,4.76,720,45.61
2025-02-05,25.74%,-1.56%,60.87%,40%,999.99,1,4.752,719,44.84
2025-02-04,27.29%,+1.79%,65.26%,53%,999.99,1,4.76,720,44.63
2025-02-03,25.50%,+0.02%,60.22%,37%,999.99,1,4.752,719,43.76
2025-01-30,25.48%,-0.51%,60.16%,36%,4,5,4.758064516129,714,44.61
2025-01-29,25.99%,+0.52%,61.59%,40%,0,3,4.6456692913386,717,43.68
2025-01-27,25.46%,+4.38%,60.11%,36%,0.28205128205128,50,3.6875,750,42.71
2025-01-23,21.08%,-3.60%,47.76%,18%,999.99,1,3.68125,749,43.14
2025-01-22,24.68%,+0.48%,57.90%,29%,6,35,3.5605095541401,716,43.37
2025-01-21,24.20%,+1.40%,56.54%,28%,0.9,19,3.7414965986395,697,43.55
2025-01-17,22.80%,+0.84%,52.60%,22%,20,21,2.9407665505226,1131,42.67
2025-01-16,21.95%,-2.42%,50.22%,19%,5,6,2.9756097560976,1141,42.03
2025-01-15,24.38%,+3.09%,57.05%,27%,999.99,3,2.9651567944251,1138,42.42
2025-01-14,21.28%,-2.00%,48.34%,19%,999.99,1,2.9616724738676,1137,41.18
2025-01-13,23.29%,-3.58%,53.98%,24%,56,57,2.7797202797203,1081,40.83
2025-01-10,26.87%,+3.59%,64.05%,46%,50.5,206,2.1625441696113,895,41.13
2025-01-08,23.27%,-7.03%,53.93%,23%,999.99,1,2.1590106007067,894,41.7
2025-01-07,30.30%,+4.49%,73.73%,72%,999.99,6,2.1554770318021,893,41.97
2025-01-06,25.81%,-3.08%,61.07%,35%,0,2,2.1554770318021,893,42.43
2025-01-03,28.89%,+1.71%,69.75%,63%,999.99,12,2.1554770318021,893,42.78
2024-12-31,27.18%,-3.52%,64.93%,48%,999.99,12,2.1166077738516,882,41.91
2024-12-30,30.70%,+0.19%,74.85%,75%,0,11,2.2087912087912,876,42.15
2024-12-27,30.51%,+4.71%,74.32%,73%,999.99,5,2.1904761904762,871,42.8
2024-12-26,25.80%,+1.63%,61.05%,35%,0,25,2.4396887159533,884,42.85
2024-12-24,24.17%,-3.74%,56.46%,25%,0.16666666666667,7,2.4396887159533,884,43.24
2024-12-23,27.91%,-3.84%,66.98%,54%,8.7777777777778,88,2.1235521235521,809,43.37
2024-12-20,31.74%,-7.89%,77.78%,79%,11,36,2.1048689138577,829,43.71
2024-12-19,39.63%,+6.61%,100.00%,100%,2.3333333333333,10,2.1207547169811,827,43.42
2024-12-18,33.02%,+10.21%,82.26%,87%,1.2,22,2.1749049429658,835,43.32
2024-12-17,22.81%,-9.88%,53.20%,21%,3,20,4.2403100775194,1352,45.28
2024-12-16,32.69%,-2.71%,81.32%,85%,2.74,187,1.9131313131313,1442,48.97
2024-12-13,35.40%,+1.05%,89.04%,96%,0.59090909090909,35,1.9278350515464,1420,49.02
2024-12-11,34.35%,+4.25%,86.04%,93%,999.99,1,1.9257731958763,1419,49.56
2024-12-10,30.10%,-3.08%,73.95%,74%,6,7,1.9175257731959,1415,49.22
2024-12-09,33.19%,+0.05%,82.72%,90%,0,12,1.9620253164557,1404,49.23
2024-12-06,33.14%,+0.11%,82.58%,89%,999.99,4,1.9535864978903,1400,48.35
2024-12-05,33.03%,+0.55%,82.27%,89%,3.6666666666667,14,1.9305263157895,1392,48.48
2024-12-04,32.48%,-6.78%,80.71%,87%,2.2,16,1.9194915254237,1378,47.75
2024-12-03,39.26%,+2.30%,100.00%,100%,0,10,1.9154334038055,1379,47.46
2024-12-02,36.95%,+2.78%,100.00%,100%,1,10,1.9048625792812,1374,47.46
2024-11-29,34.18%,+5.99%,92.62%,93%,0.08695652173913,25,1.9048625792812,1374,47.45
2024-11-27,28.19%,-8.27%,74.16%,65%,999.99,20,1.8668076109937,1356,46.84
2024-11-26,36.46%,+0.46%,99.66%,99%,0.41176470588235,48,1.9705215419501,1310,47.26
2024-11-25,36.00%,-0.57%,98.24%,99%,0.23076923076923,16,2.018648018648,1295,47.24
2024-11-22,36.57%,+0.84%,100.00%,100%,999.99,5,2.009324009324,1291,47.88
2024-11-21,35.74%,+0.85%,99.05%,99%,999.99,6,1.995337995338,1285,48.09
2024-11-20,34.88%,+0.07%,96.38%,98%,999.99,3,1.988344988345,1282,47.45
2024-11-19,34.81%,+0.58%,96.15%,97%,0.76973684210526,269,2.6523297491039,1019,47.43
2024-11-18,34.23%,-0.08%,94.35%,96%,33.875,279,1.7054545454545,744,47.64
2024-11-15,34.31%,+3.62%,94.60%,97%,2.5,28,1.5777027027027,763,46.4
2024-11-14,30.69%,-2.06%,83.26%,84%,4.625,45,1.625,798,46.26
2024-11-13,32.76%,-0.39%,89.72%,92%,0.8,27,1.628762541806,786,46.33
2024-11-12,33.14%,-0.89%,90.93%,95%,4,10,1.71,813,47.02
2024-11-11,34.03%,+6.02%,93.72%,97%,999.99,8,2.1233333333333,937,47.68
2024-11-08,28.01%,-4.32%,74.86%,69%,1.0769230769231,27,2.1408934707904,914,49.01
2024-11-07,32.34%,-1.49%,88.40%,93%,0.66666666666667,5,2.1413793103448,911,50.57
2024-11-06,33.82%,-1.06%,93.06%,96%,1.5,5,2.1379310344828,910,49.41
2024-11-05,34.88%,+0.47%,96.38%,98%,0,1,2.1379310344828,910,50.68
2024-11-04,34.42%,+1.65%,94.91%,98%,2.2,32,2.2765957446809,924,49.77
2024-11-01,32.77%,-2.49%,89.75%,95%,0.041666666666667,25,2.4372623574144,904,49.45
2024-10-31,35.26%,+3.07%,97.56%,98%,1.7142857142857,38,2.5180722891566,876,49.36
2024-10-30,32.19%,-0.84%,87.94%,94%,999.99,3,2.5060240963855,873,49.68
2024-10-29,33.03%,+1.77%,90.58%,97%,2,3,2.5161290322581,872,50.14
2024-10-28,31.26%,-0.44%,85.04%,91%,999.99,2,2.508064516129,870,50.24
2024-10-24,31.70%,+1.63%,86.40%,92%,999.99,4,2.491935483871,866,50.16
2024-10-23,30.06%,-0.52%,81.29%,84%,0,4,2.472,868,49.45
2024-10-22,30.59%,-2.22%,82.92%,88%,0,1,2.472,868,50.58
2024-10-21,32.81%,+2.90%,89.88%,96%,0.1,22,2.5666666666667,856,50.41
2024-10-18,29.91%,-0.85%,80.79%,82%,0.85714285714286,13,1.560824742268,1242,50.54
2024-10-16,30.76%,+2.45%,83.46%,88%,0,4,1.5672877846791,1240,49.72
2024-10-15,28.30%,-7.64%,75.77%,72%,3.5,27,1.5687885010267,1251,49.08
2024-10-14,35.94%,-0.10%,99.69%,99%,6,7,1.5637860082305,1246,49.57
2024-10-11,36.04%,+5.06%,100.00%,100%,0,5,1.5637860082305,1246,50.06
2024-10-10,30.98%,-4.48%,85.72%,90%,0.17647058823529,20,1.5779625779626,1240,49.29
2024-10-09,35.45%,+3.13%,100.00%,100%,7.6666666666667,26,1.5397489539749,1214,48.71
2024-10-08,32.32%,+1.58%,94.90%,96%,10.333333333333,34,1.4979079497908,1194,49
2024-10-07,30.75%,+0.12%,89.60%,90%,8.5,57,1.4059196617336,1138,49.68
2024-10-04,30.63%,-1.28%,89.20%,90%,999.99,9,1.3890063424947,1130,49.8
2024-10-03,31.91%,+0.05%,93.52%,94%,0.57142857142857,11,1.412017167382,1124,49.76
2024-10-02,31.86%,-1.98%,93.35%,94%,27.5,57,1.3025751072961,1073,50.39
2024-10-01,33.84%,+3.84%,100.00%,100%,1.4,24,1.2891304347826,1053,50.16
2024-09-30,29.99%,+3.32%,87.66%,86%,1.75,22,1.284140969163,1037,50.4
2024-09-27,26.68%,-1.27%,76.43%,54%,13,126,1.047191011236,911,51.55
2024-09-26,27.95%,+1.06%,80.73%,70%,0.22857142857143,43,0.99353448275862,925,51.47
2024-09-25,26.89%,+1.64%,77.16%,57%,0.25,15,0.98290598290598,928,50.21
2024-09-24,25.25%,+1.87%,71.61%,32%,0.175,47,0.94855967078189,947,50.68
2024-09-23,23.39%,-2.47%,65.29%,24%,0.71052631578947,65,0.92177589852008,909,49.41
2024-09-20,25.27%,+7.01%,71.68%,32%,0.33333333333333,4,1.0463709677419,1015,48.45
2024-09-19,18.26%,-9.69%,47.93%,18%,1.5384615384615,33,1.0142276422764,991,48.14
2024-09-18,27.95%,+1.73%,80.74%,70%,1,6,1.0162601626016,992,47.22
2024-09-17,26.21%,+0.01%,74.86%,46%,1,12,1.0102040816327,985,47.2
2024-09-16,26.20%,-0.81%,74.83%,46%,0,1,1.0102040816327,985,46.77
2024-09-13,27.01%,+1.40%,77.56%,59%,0.5,3,1.0143442622951,983,46.37
2024-09-12,25.61%,-2.82%,72.81%,38%,999.99,8,1.030737704918,991,46.25
2024-09-11,28.43%,-3.33%,82.37%,75%,5,12,1.0348360655738,993,45.78
2024-09-10,31.76%,-1.10%,93.64%,95%,999.99,3,1.030737704918,991,45.49
2024-09-09,32.85%,+3.35%,97.35%,98%,7,24,1.0144329896907,977,45.62
2024-09-06,29.50%,+5.26%,86.00%,83%,0,7,1.0207468879668,974,45.38
2024-09-05,24.24%,-4.26%,68.18%,28%,2,3,1.0186335403727,975,46.25
2024-09-04,28.50%,+0.44%,82.62%,78%,4,5,1.0165631469979,974,45.64
2024-09-03,28.06%,+5.73%,81.12%,74%,1.0526315789474,39,1.0278372591006,947,45.49
2024-08-30,22.33%,-2.85%,61.71%,20%,0.25,5,1.0344086021505,946,46.96
2024-08-29,25.18%,-1.23%,71.35%,33%,999.99,38,0.95268817204301,908,47.31
2024-08-28,26.40%,+3.78%,75.51%,50%,999.99,1,0.9505376344086,907,47.08
2024-08-27,22.63%,-4.01%,62.71%,21%,3.2,42,0.9010989010989,865,47.85
2024-08-26,26.63%,+0.80%,76.28%,54%,0,2,0.90507726269316,863,47.55
2024-08-23,25.84%,+3.77%,73.58%,40%,1,6,0.90444444444444,857,47.79
2024-08-22,22.06%,-2.98%,60.80%,20%,0,3,0.91051454138702,854,46.38
2024-08-21,25.05%,-7.02%,70.91%,31%,0,3,0.91051454138702,854,47.54
2024-08-20,32.07%,+8.54%,94.70%,95%,999.99,11,0.89261744966443,846,47.28
2024-08-19,23.53%,-0.89%,65.76%,23%,0.18421052631579,45,0.91879350348028,827,47.93
2024-08-16,24.42%,+0.95%,68.78%,26%,7.8571428571429,62,0.18036332179931,2729,46.9
2024-08-15,23.47%,-1.70%,65.57%,22%,0.0007490637,4008,0.070715614955168,6329,46
2024-08-14,25.17%,-6.96%,71.32%,30%,1.4,12,0.07020808661817,6326,45.27
2024-08-12,32.13%,-1.07%,94.91%,95%,0,1,0.07020808661817,6326,43.91
2024-08-09,33.20%,-0.43%,98.53%,98%,0,3,0.07020808661817,6326,44.15
2024-08-06,33.63%,+8.51%,100.00%,100%,3,8,0.069531382168838,6322,42.59
2024-08-05,25.13%,-0.30%,71.90%,30%,999.99,13,0.06733209270851,6309,42.72
2024-08-01,25.43%,+0.14%,72.93%,32%,1,2,0.067162916596177,6308,44.5
2024-07-31,25.29%,-3.79%,72.46%,30%,0.0009647853,2075,0.061199321720364,6884,45.51
2024-07-30,29.08%,+0.11%,85.42%,82%,0.11111111111111,10,0.060979365568217,6890,44.14
2024-07-29,28.97%,+4.06%,85.03%,80%,0,11,0.061082832022212,6879,43.49
2024-07-26,24.91%,-7.31%,71.14%,29%,1,8,0.060465833718957,6875,43.87
2024-07-25,32.22%,+6.21%,96.16%,97%,0,60,0.060973712863587,6821,43.5
2024-07-24,26.00%,-2.99%,74.89%,39%,6,14,0.059125564026762,6807,43.27
2024-07-23,28.99%,+11.60%,85.12%,82%,0,2,0.059143968871595,6805,43.56
2024-07-22,17.39%,-8.30%,45.43%,17%,0.040816326530612,51,0.059256936823954,6757,43.87
2024-07-19,25.69%,+14.54%,73.84%,35%,4,50,0.043900573613767,13649,43.27
2024-07-18,11.16%,-16.78%,24.10%,10%,8,18,0.042836380325862,13633,43.35
2024-07-17,27.94%,+17.54%,81.52%,70%,0.0021637816245007,6021,0.059439050701187,9821,43.94
2024-07-16,10.40%,-0.33%,21.51%,9%,0,4,0.059451877427708,9819,45.07
2024-07-15,10.73%,+6.61%,22.63%,9%,4.3076923076923,69,0.053995680345572,9760,44.35
2024-07-12,4.11%,-12.00%,0.00%,4%,0.63636363636364,18,0.053631164346606,9764,45.1
2024-07-11,16.12%,+16.12%,40.74%,15%,0.11111111111111,10,0.053569499945998,9755,44.74
2024-07-10,0.00%,-13.93%,0.00%,0%,5.1666666666667,37,0.053382321158418,9748,44.37
2024-07-08,13.93%,+9.66%,33.23%,13%,0,3002,0.063717270733909,8247,44.32
2024-07-05,4.28%,-5.48%,0.00%,3%,0,7,0.063717270733909,8247,44.32
2024-07-03,9.76%,-8.45%,16.93%,7%,0,3,0.063725490196078,8246,43.46
2024-07-02,18.21%,+9.40%,46.69%,13%,0.30769230769231,17,0.06323396567299,8239,42.48
2024-07-01,8.81%,-4.85%,13.58%,5%,0.5,3,0.063113061435209,8237,43.18
2024-06-28,13.65%,+5.24%,30.65%,10%,999.99,44,0.063113061435209,8237,43.32
2024-06-27,8.41%,+8.41%,12.19%,4%,0.0069444444444444,1015,0.071693082506295,7235,42.2
